x,y,z
13.5,168.5,1.349858807576
14.5,168.5,1.349858807576
1.5,169.5,1.349858807576
2.5,169.5,1.349858807576
3.5,169.5,1.349858807576
4.5,169.5,1.349858807576
5.5,169.5,1.349858807576
6.5,169.5,1.349858807576
7.5,169.5,1.349858807576
8.5,169.5,1.349858807576
9.5,169.5,1.349858807576
10.5,169.5,1.349858807576
11.5,169.5,1.349858807576
12.5,169.5,1.349858807576
13.5,169.5,1.349858807576
14.5,169.5,1.349858807576
1.5,170.5,1.349858807576
2.5,170.5,1.349858807576
3.5,170.5,1.349858807576
4.5,170.5,1.349858807576
5.5,170.5,1.349858807576
6.5,170.5,1.349858807576
7.5,170.5,1.349858807576
8.5,170.5,1.349858807576
9.5,170.5,1.349858807576
10.5,170.5,1.349858807576
11.5,170.5,1.349858807576
12.5,170.5,1.349858807576
13.5,170.5,1.349858807576
14.5,170.5,1.349858807576
1.5,171.5,1.349858807576
2.5,171.5,1.349858807576
3.5,171.5,1.349858807576
4.5,171.5,1.349858807576
5.5,171.5,1.349858807576
6.5,171.5,1.349858807576
7.5,171.5,1.349858807576
8.5,171.5,1.349858807576
9.5,171.5,1.349858807576
10.5,171.5,1.349858807576
11.5,171.5,1.349858807576
12.5,171.5,1.349858807576
13.5,171.5,1.349858807576
14.5,171.5,1.349858807576
3.5,160.5,1.82211880039051
4.5,160.5,1.82211880039051
5.5,160.5,1.82211880039051
6.5,160.5,1.82211880039051
7.5,160.5,1.82211880039051
8.5,160.5,1.82211880039051
9.5,160.5,1.82211880039051
10.5,160.5,1.82211880039051
11.5,160.5,1.82211880039051
12.5,160.5,1.82211880039051
3.5,161.5,1.82211880039051
4.5,161.5,1.82211880039051
5.5,161.5,1.82211880039051
6.5,161.5,1.82211880039051
7.5,161.5,1.82211880039051
8.5,161.5,1.82211880039051
9.5,161.5,1.82211880039051
10.5,161.5,1.82211880039051
11.5,161.5,1.82211880039051
12.5,161.5,1.82211880039051
3.5,162.5,1.82211880039051
4.5,162.5,1.82211880039051
5.5,162.5,1.82211880039051
6.5,162.5,1.82211880039051
7.5,162.5,1.82211880039051
8.5,162.5,1.82211880039051
9.5,162.5,1.82211880039051
10.5,162.5,1.82211880039051
11.5,162.5,1.82211880039051
12.5,162.5,1.82211880039051
3.5,163.5,1.82211880039051
4.5,163.5,1.82211880039051
5.5,163.5,1.82211880039051
6.5,163.5,1.82211880039051
7.5,163.5,1.82211880039051
8.5,163.5,1.82211880039051
9.5,163.5,1.82211880039051
10.5,163.5,1.82211880039051
11.5,163.5,1.82211880039051
12.5,163.5,1.82211880039051
3.5,164.5,1.82211880039051
4.5,164.5,1.82211880039051
5.5,164.5,1.82211880039051
6.5,164.5,1.82211880039051
7.5,164.5,1.82211880039051
8.5,164.5,1.82211880039051
9.5,164.5,1.82211880039051
10.5,164.5,1.82211880039051
11.5,164.5,1.82211880039051
12.5,164.5,1.82211880039051
3.5,165.5,1.82211880039051
4.5,165.5,1.82211880039051
5.5,165.5,1.82211880039051
6.5,165.5,1.82211880039051
7.5,165.5,1.82211880039051
8.5,165.5,1.82211880039051
9.5,165.5,1.82211880039051
10.5,165.5,1.82211880039051
11.5,165.5,1.82211880039051
12.5,165.5,1.82211880039051
3.5,166.5,1.82211880039051
4.5,166.5,1.82211880039051
5.5,166.5,1.82211880039051
6.5,166.5,1.82211880039051
7.5,166.5,1.82211880039051
8.5,166.5,1.82211880039051
9.5,166.5,1.82211880039051
10.5,166.5,1.82211880039051
11.5,166.5,1.82211880039051
12.5,166.5,1.82211880039051
3.5,167.5,1.82211880039051
4.5,167.5,1.82211880039051
5.5,167.5,1.82211880039051
6.5,167.5,1.82211880039051
7.5,167.5,1.82211880039051
8.5,167.5,1.82211880039051
9.5,167.5,1.82211880039051
10.5,167.5,1.82211880039051
11.5,167.5,1.82211880039051
12.5,167.5,1.82211880039051
3.5,168.5,1.82211880039051
4.5,168.5,1.82211880039051
5.5,168.5,1.82211880039051
6.5,168.5,1.82211880039051
7.5,168.5,1.82211880039051
8.5,168.5,1.82211880039051
9.5,168.5,1.82211880039051
10.5,168.5,1.82211880039051
11.5,168.5,1.82211880039051
12.5,168.5,1.82211880039051
3.5,169.5,1.82211880039051
4.5,169.5,1.82211880039051
5.5,169.5,1.82211880039051
6.5,169.5,1.82211880039051
7.5,169.5,1.82211880039051
8.5,169.5,1.82211880039051
9.5,169.5,1.82211880039051
10.5,169.5,1.82211880039051
11.5,169.5,1.82211880039051
12.5,169.5,1.82211880039051
4.5,161.5,2.45960311115695
5.5,161.5,2.45960311115695
6.5,161.5,2.45960311115695
7.5,161.5,2.45960311115695
8.5,161.5,2.45960311115695
9.5,161.5,2.45960311115695
10.5,161.5,2.45960311115695
11.5,161.5,2.45960311115695
4.5,162.5,2.45960311115695
5.5,162.5,2.45960311115695
6.5,162.5,2.45960311115695
7.5,162.5,2.45960311115695
8.5,162.5,2.45960311115695
9.5,162.5,2.45960311115695
10.5,162.5,2.45960311115695
11.5,162.5,2.45960311115695
4.5,163.5,2.45960311115695
5.5,163.5,2.45960311115695
6.5,163.5,2.45960311115695
7.5,163.5,2.45960311115695
8.5,163.5,2.45960311115695
9.5,163.5,2.45960311115695
10.5,163.5,2.45960311115695
11.5,163.5,2.45960311115695
4.5,164.5,2.45960311115695
5.5,164.5,2.45960311115695
6.5,164.5,2.45960311115695
7.5,164.5,2.45960311115695
8.5,164.5,2.45960311115695
9.5,164.5,2.45960311115695
10.5,164.5,2.45960311115695
11.5,164.5,2.45960311115695
4.5,165.5,2.45960311115695
5.5,165.5,2.45960311115695
6.5,165.5,2.45960311115695
7.5,165.5,2.45960311115695
8.5,165.5,2.45960311115695
9.5,165.5,2.45960311115695
10.5,165.5,2.45960311115695
11.5,165.5,2.45960311115695
4.5,166.5,2.45960311115695
5.5,166.5,2.45960311115695
6.5,166.5,2.45960311115695
7.5,166.5,2.45960311115695
8.5,166.5,2.45960311115695
9.5,166.5,2.45960311115695
10.5,166.5,2.45960311115695
11.5,166.5,2.45960311115695
4.5,167.5,2.45960311115695
5.5,167.5,2.45960311115695
6.5,167.5,2.45960311115695
7.5,167.5,2.45960311115695
8.5,167.5,2.45960311115695
9.5,167.5,2.45960311115695
10.5,167.5,2.45960311115695
11.5,167.5,2.45960311115695
4.5,168.5,2.45960311115695
5.5,168.5,2.45960311115695
6.5,168.5,2.45960311115695
7.5,168.5,2.45960311115695
8.5,168.5,2.45960311115695
9.5,168.5,2.45960311115695
10.5,168.5,2.45960311115695
11.5,168.5,2.45960311115695
5.5,162.5,3.32011692273655
6.5,162.5,3.32011692273655
